2024-06-09 10:49:56,064.bbq_producer.INFO ==================================================
2024-06-09 10:49:56,064.bbq_producer.INFO Today is 2024-06-09 at 10:49 AM
2024-06-09 10:49:56,064.bbq_producer.INFO Running on: nt Windows 10
2024-06-09 10:49:56,065.bbq_producer.INFO Python version:  3.11.4
2024-06-09 10:49:56,065.bbq_producer.INFO Python path: C:\Users\lucim\Streaming Data\streaming-05-smart-smoker\.venv
2024-06-09 10:49:56,065.bbq_producer.INFO Working dir: C:\Users\lucim\Streaming Data\streaming-05-smart-smoker
2024-06-09 10:49:56,065.bbq_producer.INFO ==================================================
2024-06-09 10:50:00,709.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:20:15,84.2
2024-06-09 10:50:03,712.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:20:20,84.2
2024-06-09 10:50:06,716.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:21:10,87.6
2024-06-09 10:50:09,718.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:21:15,87.6
2024-06-09 10:50:12,721.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:22:10,86.3
2024-06-09 10:50:15,726.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:22:15,86.3
2024-06-09 10:50:18,730.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:23:10,92.0
2024-06-09 10:50:21,734.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:23:15,92.0
2024-06-09 10:50:24,735.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:24:10,96.8
2024-06-09 10:50:27,741.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:24:15,96.8
2024-06-09 10:50:30,743.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:25:05,100.6
2024-06-09 10:50:33,750.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:25:10,100.9
2024-06-09 10:50:36,751.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:25:15,100.9
2024-06-09 10:50:39,756.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:26:10,104.8
2024-06-09 10:50:42,759.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:26:15,104.8
2024-06-09 10:50:45,765.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:27:10,108.2
2024-06-09 10:50:48,768.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:27:15,108.2
2024-06-09 10:50:51,772.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:28:10,111.4
2024-06-09 10:50:54,773.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:28:15,111.4
2024-06-09 10:50:57,781.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:29:10,114.2
2024-06-09 10:51:00,784.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:29:15,114.2
2024-06-09 10:51:03,785.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:30:10,116.9
2024-06-09 10:51:06,789.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:30:15,116.9
2024-06-09 10:51:09,791.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:31:10,119.4
2024-06-09 10:51:12,794.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:31:15,119.4
2024-06-09 10:51:15,798.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:32:10,120.1
2024-06-09 10:51:18,799.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:32:15,120.1
2024-06-09 10:51:21,804.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:33:10,106.2
2024-06-09 10:51:24,806.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:33:15,106.2
2024-06-09 10:51:27,810.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:34:10,103.5
2024-06-09 10:51:30,812.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:34:15,103.5
2024-06-09 10:51:33,816.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:35:10,105.3
2024-06-09 10:51:36,819.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:35:15,105.3
2024-06-09 10:51:39,823.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:36:10,106.9
2024-06-09 10:51:42,828.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:36:15,106.9
2024-06-09 10:51:45,829.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:37:10,111.9
2024-06-09 10:51:48,831.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:37:15,111.9
2024-06-09 10:51:51,832.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:38:10,114.2
2024-06-09 10:51:54,837.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:38:15,114.2
2024-06-09 10:51:57,841.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:39:10,115.5
2024-06-09 10:52:00,843.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:39:15,115.5
2024-06-09 10:52:03,844.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:40:10,112.6
2024-06-09 10:52:06,851.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:40:15,112.6
2024-06-09 10:52:09,863.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:41:10,118.8
2024-06-09 10:52:12,864.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:41:15,118.8
2024-06-09 10:52:15,871.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:42:10,113.2
2024-06-09 10:52:18,876.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:42:15,113.2
2024-06-09 10:52:21,881.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:43:10,126.7
